Console,Game_Name,Review,Score
PC,Nintendo Labo Vehicle Kit : The Most Fun Labo Yet,Good,7
PC,Lamplight City  - Cold Case,Fair,6
PC,Frozen Synapse 2  - Cool-Headed,Great,8
PC,428: Shibuya Scramble  - When Fates Collide,Great,8
PC,"NBA 2K19  - Another Year, Another Baller",Good,7
PC,Valkyria Chronicles 4  - Soar High,Great,8
PC,Shadow Of The Tomb Raider  - Guerilla Girl,Fair,6
PC,NBA Live 19  - Dribbling Forward,Good,7
PC,Two Point Hospital  - Laughter Is The Best Medicine,Great,8
PC,Marvel's Spider-Man PS4 : Amazing Fantasy,Superb,9
PC,Strange Brigade  - Co-op With Style,Good,7
PC,Planet Alpha : A Beautiful Planet,Good,7
PC,Donut County : Pit Falls,Fair,6
PC,Little Dragons Cafe  - Dragging On,Fair,6
PC,Into The Breach : A Mechanized Masterpiece,Superb,9
PC,Vigilante,Terrible,2
PC,The Messenger : Shuriken Sharp,Great,8
PC,The Golf Club 2019,Great,8
PC,Hollow Knight  - An Exceptional Adventure,Superb,9
PC,Monster Hunter Generations Ultimate  - A Formidable Beast,Good,7
PC,F1 2018  - Victory Lap,Superb,9
PC,Death's Gambit  - A Maddening Mission,Fair,6
PC,The King's Bird : A Rocky Flight,Mediocre,5
PC,Guacamelee 2  - Ready For A Challenge,Superb,9
PC,H1Z1 Battle Royale PS4 : All Kills No Frills,Good,7
PC,The Walking Dead - The Final Season Episode 1: Done Running,Great,8
PC,Phantom Doctrine : Tactical Espionage Action,Superb,9
PC,Flipping Death : Scythe Life,Good,7
PC,Madden NFL 19,Great,8
PC,We Happy Few,Poor,4
PC,Unavowed : Dressed To Possess,Superb,9
PC,Monster Hunter World  - Deadliest Catch,Great,8
PC,Overcooked 2  - A Great Second Course,Great,8
PC,Dead Cells : Rise From Your Grave,Superb,9
PC,No Man's Sky,Good,7
PC,No Man's Sky Next : You Are Not Alone,Great,8
PC,WarioWare Gold  - Worth Its Weight,Great,8
PC,The Banner Saga 3,Great,8
PC,Mega Man X Legacy Collection 1 + 2 : Mega Museum,Great,8
PC,Earthfall : An Inferior Invasion,Poor,4
PC,Semblance,Good,7
PC,Mothergunship : Bullet-Hell Extravaganza,Great,8
PC,20XX  - Robot Generation,Good,7
PC,Fighting EX Layer : One-On-One Fun,Great,8
PC,Captain Toad: Treasure Tracker Nintendo Switch : Time For Adventure,Great,8
